"student_id","subject","lrt_rank","pct_correct"
"A_1_1","kokugo",1,39.2156862745098
"A_1_2","kokugo",1,25.4901960784314
"A_1_3","kokugo",3,60.7843137254902
"A_1_4","kokugo",1,35.2941176470588
"A_1_5","kokugo",3,58.8235294117647
"A_1_6","kokugo",4,88.2352941176471
"A_1_7","kokugo",2,45.0980392156863
"A_1_8","kokugo",3,68.6274509803922
"A_1_9","kokugo",2,47.0588235294118
"A_1_10","kokugo",3,58.8235294117647
"A_1_11","kokugo",2,54.9019607843137
"A_1_12","kokugo",2,50.9803921568627
"A_1_13","kokugo",4,86.2745098039216
"A_1_14","kokugo",3,58.8235294117647
"A_1_15","kokugo",4,62.7450980392157
"A_1_16","kokugo",3,66.6666666666667
"A_1_17","kokugo",4,84.3137254901961
"A_1_18","kokugo",3,76.4705882352941
"A_1_19","kokugo",4,78.4313725490196
"A_1_20","kokugo",4,66.6666666666667
"A_1_21","kokugo",2,45.0980392156863
"A_1_22","kokugo",3,68.6274509803922
"A_1_23","kokugo",3,60.7843137254902
"A_1_24","kokugo",3,66.6666666666667
"A_1_25","kokugo",4,78.4313725490196
"A_1_26","kokugo",3,66.6666666666667
"A_1_27","kokugo",3,60.7843137254902
"A_1_28","kokugo",4,80.3921568627451
"A_1_29","kokugo",3,60.7843137254902
"A_1_30","kokugo",4,72.5490196078431
"A_2_1","kokugo",1,25.4901960784314
"A_2_2","kokugo",1,39.2156862745098
"A_2_3","kokugo",3,72.5490196078431
"A_2_4","kokugo",4,88.2352941176471
"A_2_5","kokugo",4,72.5490196078431
"A_2_6","kokugo",3,66.6666666666667
"A_2_7","kokugo",4,86.2745098039216
"A_2_8","kokugo",4,76.4705882352941
"A_2_9","kokugo",3,72.5490196078431
"A_2_10","kokugo",2,54.9019607843137
"A_2_11","kokugo",2,45.0980392156863
"A_2_12","kokugo",3,64.7058823529412
"A_2_13","kokugo",2,56.8627450980392
"A_2_14","kokugo",1,45.0980392156863
"A_2_15","kokugo",3,58.8235294117647
"A_2_16","kokugo",4,82.3529411764706
"A_2_17","kokugo",4,82.3529411764706
"A_2_18","kokugo",2,62.7450980392157
"A_2_19","kokugo",3,60.7843137254902
"A_2_20","kokugo",2,50.9803921568627
"A_2_21","kokugo",4,68.6274509803922
"A_2_22","kokugo",3,72.5490196078431
"A_2_23","kokugo",3,64.7058823529412
"A_2_24","kokugo",1,25.4901960784314
"A_2_25","kokugo",2,33.3333333333333
"A_2_26","kokugo",4,90.1960784313726
"A_2_27","kokugo",3,56.8627450980392
"A_2_28","kokugo",4,76.4705882352941
"A_2_29","kokugo",3,60.7843137254902
"A_2_30","kokugo",2,50.9803921568627
"B_1_1","kokugo",2,54.9019607843137
"B_1_2","kokugo",1,41.1764705882353
"B_1_3","kokugo",4,76.4705882352941
"B_1_4","kokugo",3,66.6666666666667
"B_1_5","kokugo",4,84.3137254901961
"B_1_6","kokugo",4,78.4313725490196
"B_1_7","kokugo",1,37.2549019607843
"B_1_8","kokugo",3,62.7450980392157
"B_1_9","kokugo",4,86.2745098039216
"B_1_10","kokugo",3,62.7450980392157
"B_1_11","kokugo",4,80.3921568627451
"B_1_12","kokugo",1,41.1764705882353
"B_1_13","kokugo",3,74.5098039215686
"B_1_14","kokugo",3,54.9019607843137
"B_1_15","kokugo",4,64.7058823529412
"B_1_16","kokugo",3,58.8235294117647
"B_1_17","kokugo",1,15.6862745098039
"B_1_18","kokugo",1,27.4509803921569
"B_1_19","kokugo",3,68.6274509803922
"B_1_20","kokugo",3,64.7058823529412
"B_1_21","kokugo",4,74.5098039215686
"B_1_22","kokugo",4,88.2352941176471
"B_1_23","kokugo",4,80.3921568627451
"B_1_24","kokugo",1,45.0980392156863
"B_1_25","kokugo",3,60.7843137254902
"B_1_26","kokugo",1,25.4901960784314
"B_1_27","kokugo",3,62.7450980392157
"B_1_28","kokugo",4,78.4313725490196
"B_1_29","kokugo",3,64.7058823529412
"B_1_30","kokugo",4,94.1176470588235
"B_2_1","kokugo",3,64.7058823529412
"B_2_2","kokugo",3,72.5490196078431
"B_2_3","kokugo",4,92.156862745098
"B_2_4","kokugo",4,82.3529411764706
"B_2_5","kokugo",3,66.6666666666667
"B_2_6","kokugo",2,49.0196078431373
"B_2_7","kokugo",2,58.8235294117647
"B_2_8","kokugo",2,56.8627450980392
"B_2_9","kokugo",4,76.4705882352941
"B_2_10","kokugo",3,52.9411764705882
"B_2_11","kokugo",2,52.9411764705882
"B_2_12","kokugo",3,74.5098039215686
"B_2_13","kokugo",4,84.3137254901961
"B_2_14","kokugo",3,64.7058823529412
"B_2_15","kokugo",4,90.1960784313726
"B_2_16","kokugo",3,68.6274509803922
"B_2_17","kokugo",4,74.5098039215686
"B_2_18","kokugo",4,76.4705882352941
"B_2_19","kokugo",1,33.3333333333333
"B_2_20","kokugo",3,64.7058823529412
"B_2_21","kokugo",4,72.5490196078431
"B_2_22","kokugo",4,88.2352941176471
"B_2_23","kokugo",3,66.6666666666667
"B_2_24","kokugo",4,78.4313725490196
"B_2_25","kokugo",2,50.9803921568627
"B_2_26","kokugo",3,68.6274509803922
"B_2_27","kokugo",4,76.4705882352941
"B_2_28","kokugo",4,78.4313725490196
"B_2_29","kokugo",3,70.5882352941177
"B_2_30","kokugo",3,68.6274509803922
"C_1_1","kokugo",2,50.9803921568627
"C_1_2","kokugo",3,64.7058823529412
"C_1_3","kokugo",1,49.0196078431373
"C_1_4","kokugo",3,58.8235294117647
"C_1_5","kokugo",2,49.0196078431373
"C_1_6","kokugo",4,66.6666666666667
"C_1_7","kokugo",3,70.5882352941177
"C_1_8","kokugo",3,58.8235294117647
